ACC1000,INTRO TO FIN ACCTG
MOB3515,HUMAN RESRCE MGT
MOB3521,BUSINESS WRITING
MOB3546,CONT ISSUES IN CHILE
MOB3560,GLOBAL STRATEGIC MGT
MOB3580,NEGOTIATIONS
MOB3582,GLOBAL MGT COMM
MOB3583,BUS ENVIRON IN RUSSI
MOB4510,STRAT DEC MAKING
MOB4572,MGMT CONSULTING
MKT3500,MKT COMMUNICATNS
MKT3510,MARKET RESEARCH
MKT3525,MARKETING LAW
MKT3540,RETAILING MANAGEMENT
MKT3550,CONSUMER BEHAVIOR
MKT3575,SPORTS MARKETING
MKT4505,MARKETING MGMT
MKT4506,MARKETING ANALYTICS
SME2011,PRIN OF MARKETING
NST1010,ASTRONOMY
NST1020,ENERGY AND ENVIRONME
NST1030,ELECTRONICS
NST1040,HUMAN BIOTECHNOLOGY
NST2020,STUDIES IN ECO MGMT
NST2030,CASE STUD BIO SCI
NST2040,SUSTAINABLE FOOD SYS
QTM1000,QM BUS ANALYTICS I
QTM1010,QM FOR BUS ANLYTC II
QTM2000,CASE STDY IN BUS ANA
QTM2601,APP OF DISCRETE MATH
QTM3610,APLD MULTVARTE STATS
QTM3625,FINANCIAL SIMULATION
SCN3635,PERSONAL NUTRITION
SCN3640,SCN AND INNOVATION
FYS1001,FIRST YEAR SEMINAR
IMH2312,HONORS SEMINAR II
LIB3603,ENCOUNTERS WITH BRIC
WRT1000,INTS RHT WRITING TUT
DES3600,DESIGN & SYS THINKIN
MIS2645,MODELING WITH EXCEL
MIS3545,BUS INTEL DATA ANALY
MIS3555,"PLATFORMS,CLOUDS,NET"
MIS3640,PROB SOLV/SOFTWARE
MIS3645,AGILE METHODOLOGY
MIS3690,WEB TECHNOLOGIES
MOB3503,OPERATIONS FOR EPS
MOB3522,LEADING AND MGT SUST
MOB3573,SUPPLY CHAIN MGMT
MOB3578,INT PRODUCT DESIGN
SME2002,OPERATIONS MGMT
SME2012,MANG INFO TECH SYS
